Airtel,Asian Paints,Axis bank,Coal India,LT,Reliance,SBI,Tata Motors,Tata steel,Wipro
487.35,1176.85,542.1,272.4,1348.25,882.4,325.2,408.6,678.05,296.2
498.05,1154.25,546.25,274.5,1368.9,886.2,329.2,414.55,685.2,299.05
498.05,1175.1,537.8,276.1,1370.95,875.15,331.2,418.2,690.85,298.8
501.8,1176.45,544.5,284.65,1372.1,883.5,333.2,422.65,701.45,302.05
503.9,1195.25,540.6,283.1,1369.85,901.55,313.75,440.3,703.3,302.6
495.15,1170.95,545.05,288,1389.75,888.25,309.75,438.7,691.8,301.6
514.35,1142.3,527.1,284.75,1413.65,906.65,317.2,451.9,692.55,302.1
532.75,1162.4,533.55,287.1,1390.6,934.45,328.95,461.55,708.75,299.5
541.35,1173.4,540,286.6,1396.25,945.6,325,446.9,708.9,294.3
543.1,1178.5,530.1,291.65,1399.85,947.1,314.95,434.8,706,293.05
538.4,1174.7,533.75,285.7,1418.9,952.3,319.8,436.75,707.05,293.1
497.65,1180.7,523.05,286.35,1444.55,940.8,305.8,428.55,703.65,294
492.8,1183.2,484.3,288.9,1446.35,940.15,312.1,435.8,718.8,293.2
485.1,1187.1,484.5,290.85,1464.6,929.45,310.95,430.05,726.25,296.6
510.55,1191,484.4,292.45,1476.65,947.25,320.65,419.35,729.45,301.85
515.5,1202.6,472.7,289.15,1477.9,939.95,324.7,422,717.1,298.95
501.65,1220.5,451.85,290,1473.4,934.75,254.5,415.8,719.4,296.3
497.5,1172.4,449.9,289.95,1482.7,938.1,245.75,422.3,711.35,296.6
473.85,1180.2,460.35,286.2,1484.4,910.35,242.5,427.25,704.4,291.85
461.55,1180,464.35,290.2,1494.55,913.75,244.2,433.55,709.35,295.05
465.95,1194.4,513.2,290,1510.5,874.25,251.15,432,712.45,289.5
453,1170.25,520.7,290.25,1504.05,875.2,252.25,436.55,715.4,290.05
431.6,1171.9,529.45,288.05,1485.8,876.7,252.45,424.45,710.6,291.85
400.05,1160.1,524.65,282.4,1488.5,872.5,251.6,420.3,690.85,292.45
403.4,1160.45,515.55,283.7,1447.3,840.4,251.6,415.25,681,290.65
384.05,1162.45,513.95,285.5,1472.5,843.4,256.65,423.8,690.65,286.55
379.4,1159.35,505.15,281.45,1436.4,830.75,256.5,425.9,697.15,286.55
382.3,1158.9,504.45,276.45,1451.2,836.85,256.65,424.2,691.4,286.25
377.75,1152.3,501.15,273,1454.85,824.2,251.35,423.15,660.2,283.7
376.95,1154.6,505.3,270,1454.55,819.2,253.35,423.4,658.7,283.1
385.65,1147.45,508.5,271.35,1453.15,798.35,251.3,416.4,660.65,283.05
388.65,1117.05,508.8,270.6,1448.9,782.15,253.75,401.25,651.05,280.95
382.4,1129.25,511.75,267,1469.85,786.75,252.8,401.1,649.95,285.85
385.35,1161,505.5,260.95,1431.65,798.6,250.45,403.9,648.35,288.6
387.3,1172.2,510.4,260.3,1436.5,819.2,257.9,410.9,654.15,290.25
389.45,1196.25,501.3,256.95,1455.3,820.45,258.65,408.2,640.15,291.6
395.1,1215.15,505.05,253.9,1439.5,817.5,261.9,411.2,654.55,294.05
399.5,1229.8,512.25,253.6,1468.7,841.3,268.5,413.3,686.85,291.15
396.25,1238.75,519.35,256.4,1496.8,847.1,270.55,415.5,687.65,291.75
394.7,1253.05,520.85,258.2,1499,840,267.8,423.9,676.55,288.9
396.8,1255.85,523.55,264.8,1471.35,845.4,270.15,405.35,673.05,288.6
395.65,1244.15,517.55,259.9,1475,843.4,272.05,401.25,679.3,285.75
398.2,1245.25,519.75,254.95,1480.2,844.2,273.9,403.9,677.65,283.9
401,1252.25,498.8,256.1,1475.5,849.1,273.35,389.8,679.7,296.05
404.9,1255.2,495.55,257.5,1470.6,823.3,273.5,387.2,683.15,298.25
401.9,1236.85,493.2,256.95,1475.1,818.1,270.85,375.4,661.3,301.25
403.2,1202.65,493.25,254.45,1463.5,817.15,271.95,375.05,655.5,300.4
397.45,1199.6,496.5,253,1519.4,818.9,274.5,378.9,654.55,298.95
402.95,1205.4,493.5,255.45,1538.9,1644.6,274.2,383.4,651.45,297.2
