Date,Expiry Date,Strike Price (K),Call Price,Put Price
25-Jun-14,24-Dec-14,6000,1775,25.35
26-Jun-14,24-Dec-14,6000,1705,26.6
27-Jun-14,24-Dec-14,6000,1724,25.6
30-Jun-14,24-Dec-14,6000,1788,25.8
01-Jul-14,24-Dec-14,6000,1835,24.5
02-Jul-14,24-Dec-14,6000,1918.65,22.05
03-Jul-14,24-Dec-14,6000,1910,1.1
04-Jul-14,24-Dec-14,6000,1872.5,22.25
07-Jul-14,24-Dec-14,6000,1969.25,21.5
08-Jul-14,24-Dec-14,6000,1837.45,22.1
09-Jul-14,24-Dec-14,6000,1768,22.15
10-Jul-14,24-Dec-14,6000,1743.7,18.2
11-Jul-14,24-Dec-14,6000,1661.55,20.5
14-Jul-14,24-Dec-14,6000,1651.15,17.6
15-Jul-14,24-Dec-14,6000,1700.7,17
16-Jul-14,24-Dec-14,6000,1810.95,15.1
17-Jul-14,24-Dec-14,6000,1817.1,14.75
18-Jul-14,24-Dec-14,6000,1828.85,14.05
21-Jul-14,24-Dec-14,6000,1850.5,13
22-Jul-14,24-Dec-14,6000,1921.4,13.7
23-Jul-14,24-Dec-14,6000,1944.5,12.7
24-Jul-14,24-Dec-14,6000,1982,12.65
25-Jul-14,24-Dec-14,6000,1935,13.5
28-Jul-14,24-Dec-14,6000,1898.55,11.45
30-Jul-14,24-Dec-14,6000,1936.1,10
31-Jul-14,24-Dec-14,6000,1867,12.65
01-Aug-14,24-Dec-14,6000,1748.15,14.95
04-Aug-14,24-Dec-14,6000,1830.6,11.75
05-Aug-14,24-Dec-14,6000,1886.2,11
06-Aug-14,24-Dec-14,6000,1800.3,12.05
07-Aug-14,24-Dec-14,6000,1778.55,9.95
08-Aug-14,24-Dec-14,6000,1710,13.35
11-Aug-14,24-Dec-14,6000,1760,10.35
12-Aug-14,24-Dec-14,6000,1848.25,9.7
13-Aug-14,24-Dec-14,6000,1830,9.1
14-Aug-14,24-Dec-14,6000,1905.75,7.95
18-Aug-14,24-Dec-14,6000,1965,7.95
19-Aug-14,24-Dec-14,6000,2010.3,7.85
20-Aug-14,24-Dec-14,6000,2010,8.25
21-Aug-14,24-Dec-14,6000,2012,7.5
22-Aug-14,24-Dec-14,6000,2030,7.6
25-Aug-14,24-Dec-14,6000,2035.6,6.25
26-Aug-14,24-Dec-14,6000,1995,7
27-Aug-14,24-Dec-14,6000,2050.5,7.1
28-Aug-14,24-Dec-14,6000,2062.7,7
01-Sep-14,24-Dec-14,6000,2146.5,6.45
02-Sep-14,24-Dec-14,6000,2205,5.95
03-Sep-14,24-Dec-14,6000,2211,5.9
04-Sep-14,24-Dec-14,6000,2199,4.65
05-Sep-14,24-Dec-14,6000,2205.5,4.5
08-Sep-14,24-Dec-14,6000,2230,4.5
09-Sep-14,24-Dec-14,6000,2260,6
10-Sep-14,24-Dec-14,6000,2215,3.55
11-Sep-14,24-Dec-14,6000,2185,5.45
12-Sep-14,24-Dec-14,6000,2212,4.5
15-Sep-14,24-Dec-14,6000,2178.65,6.2
16-Sep-14,24-Dec-14,6000,2081.85,8
17-Sep-14,24-Dec-14,6000,2090,0
18-Sep-14,24-Dec-14,6000,2215,3.6
19-Sep-14,24-Dec-14,6000,2244.7,0
22-Sep-14,24-Dec-14,6000,2251.6,4.1
23-Sep-14,24-Dec-14,6000,2126.45,5
24-Sep-14,24-Dec-14,6000,2099.25,5.5
25-Sep-14,24-Dec-14,6000,1996.7,5.7
26-Sep-14,24-Dec-14,6000,2095.4,5.4
29-Sep-14,24-Dec-14,6000,2040,5.3
30-Sep-14,24-Dec-14,6000,2030,4
01-Oct-14,24-Dec-14,6000,2021.35,5
07-Oct-14,24-Dec-14,6000,1934,6
08-Oct-14,24-Dec-14,6000,1925,0
09-Oct-14,24-Dec-14,6000,2043.7,0
10-Oct-14,24-Dec-14,6000,1950,3.1
13-Oct-14,24-Dec-14,6000,1963.75,4.15
14-Oct-14,24-Dec-14,6000,1944.9,4.95
16-Oct-14,24-Dec-14,6000,1846.7,5.8
17-Oct-14,24-Dec-14,6000,1890.55,5.25
20-Oct-14,24-Dec-14,6000,1951.35,3.2
21-Oct-14,24-Dec-14,6000,1989.1,3.15
22-Oct-14,24-Dec-14,6000,2059.65,2.6
23-Oct-14,24-Dec-14,6000,2064.9,2.35
27-Oct-14,24-Dec-14,6000,2063.25,3.65
28-Oct-14,24-Dec-14,6000,2105.65,5
29-Oct-14,24-Dec-14,6000,2145.45,3.3
30-Oct-14,24-Dec-14,6000,2194.55,2
31-Oct-14,24-Dec-14,6000,2367.95,1.8
03-Nov-14,24-Dec-14,6000,2388.2,2.3
05-Nov-14,24-Dec-14,6000,2407.7,2.55
07-Nov-14,24-Dec-14,6000,2414.45,2.75
10-Nov-14,24-Dec-14,6000,2405.9,2.45
11-Nov-14,24-Dec-14,6000,2426.3,2
12-Nov-14,24-Dec-14,6000,2443.9,2.3
13-Nov-14,24-Dec-14,6000,2395,2.05
14-Nov-14,24-Dec-14,6000,2447.45,2.4
17-Nov-14,24-Dec-14,6000,2481.2,2.55
18-Nov-14,24-Dec-14,6000,2479.3,2.35
19-Nov-14,24-Dec-14,6000,2442.7,2.5
20-Nov-14,24-Dec-14,6000,2450.75,2.2
21-Nov-14,24-Dec-14,6000,2531.7,2.2
24-Nov-14,24-Dec-14,6000,2567.35,1.5
25-Nov-14,24-Dec-14,6000,2496.85,1.05
26-Nov-14,24-Dec-14,6000,2518.6,1.1
27-Nov-14,24-Dec-14,6000,2524.3,0.8
28-Nov-14,24-Dec-14,6000,2621.8,0.75
01-Dec-14,24-Dec-14,6000,2583.85,0.85
02-Dec-14,24-Dec-14,6000,2564.9,0.75
03-Dec-14,24-Dec-14,6000,2571.1,0.75
04-Dec-14,24-Dec-14,6000,2603.7,0.9
05-Dec-14,24-Dec-14,6000,2587.3,0.8
08-Dec-14,24-Dec-14,6000,2487.3,0.75
09-Dec-14,24-Dec-14,6000,2387.4,0.55
10-Dec-14,24-Dec-14,6000,2400.85,0.55
11-Dec-14,24-Dec-14,6000,2340.2,0.7
12-Dec-14,24-Dec-14,6000,2272.4,0.55
15-Dec-14,24-Dec-14,6000,2261,0.45
16-Dec-14,24-Dec-14,6000,2113.7,0.65
17-Dec-14,24-Dec-14,6000,2053.6,0.7
18-Dec-14,24-Dec-14,6000,2181.35,0.65
