Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2018,31-Dec-2020,PE,9400,0,0,0,374.15,0,127.4,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9500,0,0,0,295.5,295.5,139.85,0,0,0,75225,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9600,0,0,0,252,252,153.2,0,0,0,81075,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9700,0,0,0,339,339,167.4,0,0,0,95775,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9800,0,0,0,340.05,350,182.55,0,0,0,97575,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9900,0,0,0,436.5,436.5,198.65,0,0,0,480750,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10000,0,0,0,425,425,215.7,0,0,0,439050,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10100,390.9,390.9,338.6,338.6,338.6,338.6,193,1516.05,54.07,869625,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10200,0,0,0,552,552,252.8,0,0,0,394500,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10300,0,0,0,452,452,272.9,0,0,0,320175,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10400,0,0,0,658.5,658.5,294.05,0,0,0,30825,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10500,0,0,0,572,572,316.6,0,0,0,750600,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10600,0,0,0,619.4,619.4,339.9,0,0,0,10800,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10700,0,0,0,570,570,364.3,0,0,0,12075,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10800,0,0,0,569,569,389.8,0,0,0,119850,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,10900,0,0,0,669,669,416.5,0,0,0,73650,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,11000,0,0,0,700,700,444.3,0,0,0,122025,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,11100,0,0,0,742,742,472.85,0,0,0,18600,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,11200,0,0,0,698,698,503.05,0,0,0,7650,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,11300,0,0,0,680,680,534.45,0,0,0,210375,0,10862.55
